,image_id,class
440,test_1110a,jam
441,test_1110b,oil
442,test_1110c,water
443,test_1110d,jam
444,test_1111a,jam
445,test_1111b,pasta
446,test_1111c,oil
447,test_1111d,chocolate
448,test_1112a,corn
449,test_1112b,soda
450,test_1112c,water
451,test_1112d,flour
452,test_1113a,soda
453,test_1113b,jam
454,test_1113c,jam
455,test_1113d,soda
456,test_1114a,sugar
457,test_1114b,soda
458,test_1114c,jam
459,test_1114d,sugar
460,test_1115a,soda
461,test_1115b,water
462,test_1115c,jam
463,test_1115d,jam
464,test_1116a,jam
465,test_1116b,honey
466,test_1116c,pasta
467,test_1116d,water
468,test_1117a,jam
469,test_1117b,water
470,test_1117c,corn
471,test_1117d,corn
472,test_1118a,jam
473,test_1118b,jam
474,test_1118c,jam
475,test_1118d,jam
476,test_1119a,jam
477,test_1119b,jam
478,test_1119c,jam
479,test_1119d,nuts
480,test_1120a,jam
481,test_1120b,jam
482,test_1120c,jam
483,test_1120d,sugar
484,test_1121a,jam
485,test_1121b,jam
486,test_1121c,jam
487,test_1121d,beans
488,test_1122a,chips
489,test_1122b,soda
490,test_1122c,jam
491,test_1122d,jam
492,test_1123a,jam
493,test_1123b,jam
494,test_1123c,soda
495,test_1123d,jam
496,test_1124a,jam
497,test_1124b,jam
498,test_1124c,beans
499,test_1124d,jam
500,test_1125a,corn
501,test_1125b,jam
502,test_1125c,honey
503,test_1125d,nuts
504,test_1126a,spices
505,test_1126b,jam
506,test_1126c,jam
507,test_1126d,jam
508,test_1127a,jam
509,test_1127b,juice
510,test_1127c,jam
511,test_1127d,jam
512,test_1128a,jam
513,test_1128b,jam
514,test_1128c,oil
515,test_1128d,jam
516,test_1129a,nuts
517,test_1129b,jam
518,test_1129c,soda
519,test_1129d,cake
520,test_1130a,jam
521,test_1130b,jam
522,test_1130c,soda
523,test_1130d,nuts
524,test_1131a,jam
525,test_1131b,soda
526,test_1131c,jam
527,test_1131d,jam
528,test_1132a,sugar
529,test_1132b,beans
530,test_1132c,jam
531,test_1132d,corn
532,test_1133a,cake
533,test_1133b,jam
534,test_1133c,flour
535,test_1133d,milk
536,test_1134a,juice
537,test_1134b,jam
538,test_1134c,corn
539,test_1134d,soda
540,test_1135a,chocolate
541,test_1135b,jam
542,test_1135c,jam
543,test_1135d,jam
544,test_1136a,jam
545,test_1136b,jam
546,test_1136c,corn
547,test_1136d,chocolate
548,test_1137a,juice
549,test_1137b,jam
550,test_1137c,jam
551,test_1137d,jam
552,test_1138a,jam
553,test_1138b,sugar
554,test_1138c,jam
555,test_1138d,cake
556,test_1139a,nuts
557,test_1139b,jam
558,test_1139c,soda
559,test_1139d,jam
560,test_1140a,corn
561,test_1140b,jam
562,test_1140c,jam
563,test_1140d,jam
564,test_1141a,soda
565,test_1141b,jam
566,test_1141c,jam
567,test_1141d,oil
568,test_1142a,chips
569,test_1142b,soda
570,test_1142c,nuts
571,test_1142d,jam
572,test_1143a,jam
573,test_1143b,corn
574,test_1143c,jam
575,test_1143d,jam
576,test_1144a,honey
577,test_1144b,oil
578,test_1144c,jam
579,test_1144d,corn
580,test_1145a,corn
581,test_1145b,water
582,test_1145c,flour
583,test_1145d,nuts
584,test_1146a,jam
585,test_1146b,jam
586,test_1146c,nuts
587,test_1146d,corn
588,test_1147a,sugar
589,test_1147b,jam
590,test_1147c,jam
591,test_1147d,jam
592,test_1148a,oil
593,test_1148b,nuts
594,test_1148c,jam
595,test_1148d,jam
596,test_1149a,jam
597,test_1149b,sugar
598,test_1149c,jam
599,test_1149d,jam
600,test_1150a,sugar
601,test_1150b,jam
602,test_1150c,jam
603,test_1150d,jam
604,test_1151a,jam
605,test_1151b,soda
606,test_1151c,jam
607,test_1151d,corn
608,test_1152a,jam
609,test_1152b,jam
610,test_1152c,jam
611,test_1152d,beans
612,test_1153a,jam
613,test_1153b,soda
614,test_1153c,jam
615,test_1153d,jam
616,test_1154a,jam
617,test_1154b,milk
618,test_1154c,jam
619,test_1154d,jam
620,test_1155a,water
621,test_1155b,jam
622,test_1155c,jam
623,test_1155d,soda
624,test_1156a,jam
625,test_1156b,jam
626,test_1156c,jam
627,test_1156d,jam
628,test_1157a,soda
629,test_1157b,honey
630,test_1157c,oil
631,test_1157d,jam
632,test_1158a,jam
633,test_1158b,jam
634,test_1158c,jam
635,test_1158d,jam
636,test_1159a,jam
637,test_1159b,jam
638,test_1159c,beans
639,test_1159d,jam
640,test_1160a,jam
641,test_1160b,flour
642,test_1160c,jam
643,test_1160d,jam
644,test_1161a,tomatosauce
645,test_1161b,soda
646,test_1161c,corn
647,test_1161d,soda
648,test_1162a,flour
649,test_1162b,jam
650,test_1162c,jam
651,test_1162d,water
652,test_1163a,soda
653,test_1163b,jam
654,test_1163c,soda
655,test_1163d,chocolate
656,test_1164a,jam
657,test_1164b,jam
658,test_1164c,water
659,test_1164d,jam
660,test_1165a,jam
661,test_1165b,soda
662,test_1165c,flour
663,test_1165d,jam
664,test_1166a,jam
665,test_1166b,pasta
666,test_1166c,jam
667,test_1166d,jam
668,test_1167a,jam
669,test_1167b,jam
670,test_1167c,nuts
671,test_1167d,jam
672,test_1168a,chocolate
673,test_1168b,jam
674,test_1168c,beans
675,test_1168d,water
676,test_1169a,jam
677,test_1169b,jam
678,test_1169c,nuts
679,test_1169d,beans
680,test_1170a,jam
681,test_1170b,jam
682,test_1170c,jam
683,test_1170d,beans
684,test_1171a,jam
685,test_1171b,jam
686,test_1171c,jam
687,test_1171d,corn
688,test_1172a,jam
689,test_1172b,jam
690,test_1172c,jam
691,test_1172d,jam
692,test_1173a,flour
693,test_1173b,jam
694,test_1173c,water
695,test_1173d,soda
696,test_1174a,nuts
697,test_1174b,jam
698,test_1174c,spices
699,test_1174d,jam
700,test_1175a,jam
701,test_1175b,soda
702,test_1175c,jam
703,test_1175d,jam
704,test_1176a,beans
705,test_1176b,honey
706,test_1176c,jam
707,test_1176d,jam
708,test_1177a,jam
709,test_1177b,jam
710,test_1177c,jam
711,test_1177d,jam
712,test_1178a,jam
713,test_1178b,beans
714,test_1178c,jam
715,test_1178d,soda
716,test_1179a,jam
717,test_1179b,jam
718,test_1179c,chips
719,test_1179d,jam
720,test_1180a,jam
721,test_1180b,nuts
722,test_1180c,jam
723,test_1180d,flour
724,test_1181a,jam
725,test_1181b,jam
726,test_1181c,flour
727,test_1181d,jam
728,test_1182a,jam
729,test_1182b,jam
730,test_1182c,jam
731,test_1182d,beans
732,test_1183a,jam
733,test_1183b,jam
734,test_1183c,jam
735,test_1183d,jam
736,test_1184a,soda
737,test_1184b,water
738,test_1184c,jam
739,test_1184d,jam
740,test_1185a,jam
741,test_1185b,jam
742,test_1185c,jam
743,test_1185d,sugar
744,test_1186a,jam
745,test_1186b,jam
746,test_1186c,jam
747,test_1186d,jam
748,test_1187a,jam
749,test_1187b,jam
750,test_1187c,jam
751,test_1187d,corn
752,test_1188a,jam
753,test_1188b,jam
754,test_1188c,jam
755,test_1188d,jam
756,test_1189a,jam
757,test_1189b,juice
758,test_1189c,sugar
759,test_1189d,jam
760,test_1190a,water
761,test_1190b,nuts
762,test_1190c,chocolate
763,test_1190d,jam
764,test_1191a,jam
765,test_1191b,jam
766,test_1191c,water
767,test_1191d,corn
768,test_1192a,jam
769,test_1192b,soda
770,test_1192c,soda
771,test_1192d,jam
772,test_1193a,jam
773,test_1193b,soda
774,test_1193c,pasta
775,test_1193d,jam
776,test_1194a,corn
777,test_1194b,soda
778,test_1194c,jam
779,test_1194d,jam
780,test_1195a,jam
781,test_1195b,jam
782,test_1195c,jam
783,test_1195d,soda
784,test_1196a,jam
785,test_1196b,jam
786,test_1196c,jam
787,test_1196d,honey
788,test_1197a,jam
789,test_1197b,jam
790,test_1197c,nuts
791,test_1197d,jam
792,test_1198a,jam
793,test_1198b,tea
794,test_1198c,jam
795,test_1198d,jam
796,test_1199a,jam
797,test_1199b,water
798,test_1199c,jam
799,test_1199d,jam
800,test_1200a,jam
801,test_1200b,jam
802,test_1200c,nuts
803,test_1200d,jam
804,test_1201a,jam
805,test_1201b,jam
806,test_1201c,jam
807,test_1201d,jam
808,test_1202a,jam
809,test_1202b,jam
810,test_1202c,jam
811,test_1202d,chips
812,test_1203a,soda
813,test_1203b,jam
814,test_1203c,jam
815,test_1203d,flour
816,test_1204a,jam
817,test_1204b,jam
818,test_1204c,jam
819,test_1204d,soda
820,test_1205a,nuts
821,test_1205b,jam
822,test_1205c,soda
823,test_1205d,sugar
824,test_1206a,sugar
825,test_1206b,jam
826,test_1206c,jam
827,test_1206d,soda
828,test_1207a,water
829,test_1207b,jam
830,test_1207c,water
831,test_1207d,jam
832,test_1208a,tomatosauce
833,test_1208b,jam
834,test_1208c,flour
835,test_1208d,sugar
836,test_1209a,jam
837,test_1209b,soda
838,test_1209c,jam
839,test_1209d,soda
840,test_1210a,jam
841,test_1210b,soda
842,test_1210c,soda
843,test_1210d,soda
844,test_1211a,jam
845,test_1211b,cake
846,test_1211c,soda
847,test_1211d,pasta
848,test_1212a,spices
849,test_1212b,jam
850,test_1212c,sugar
851,test_1212d,jam
852,test_1213a,beans
853,test_1213b,jam
854,test_1213c,jam
855,test_1213d,flour
856,test_1214a,corn
857,test_1214b,jam
858,test_1214c,jam
859,test_1214d,jam
860,test_1215a,jam
861,test_1215b,jam
862,test_1215c,soda
863,test_1215d,jam
864,test_1216a,milk
865,test_1216b,pasta
866,test_1216c,nuts
867,test_1216d,corn
868,test_1217a,jam
869,test_1217b,jam
870,test_1217c,jam
871,test_1217d,jam
872,test_1218a,jam
873,test_1218b,jam
874,test_1218c,beans
875,test_1218d,jam
876,test_1219a,corn
877,test_1219b,flour
878,test_1219c,corn
879,test_1219d,jam
880,test_1220a,oil
881,test_1220b,jam
882,test_1220c,jam
883,test_1220d,nuts
884,test_1221a,jam
885,test_1221b,jam
886,test_1221c,corn
887,test_1221d,jam
888,test_1222a,jam
889,test_1222b,corn
890,test_1222c,jam
891,test_1222d,jam
892,test_1223a,jam
893,test_1223b,soda
894,test_1223c,jam
895,test_1223d,jam
896,test_1224a,tomatosauce
897,test_1224b,jam
898,test_1224c,soda
899,test_1224d,jam
900,test_1225a,jam
901,test_1225b,jam
902,test_1225c,jam
903,test_1225d,chocolate
904,test_1226a,jam
905,test_1226b,jam
906,test_1226c,jam
907,test_1226d,coffee
908,test_1227a,corn
909,test_1227b,jam
910,test_1227c,jam
911,test_1227d,soda
912,test_1228a,soda
913,test_1228b,jam
914,test_1228c,jam
915,test_1228d,jam
916,test_1229a,jam
917,test_1229b,jam
918,test_1229c,jam
919,test_1229d,vinegar
920,test_1230a,beans
921,test_1230b,jam
922,test_1230c,juice
923,test_1230d,jam
924,test_1231a,cereal
925,test_1231b,jam
926,test_1231c,jam
927,test_1231d,chocolate
928,test_1232a,chocolate
929,test_1232b,jam
930,test_1232c,jam
931,test_1232d,spices
932,test_1233a,jam
933,test_1233b,jam
934,test_1233c,jam
935,test_1233d,beans
936,test_1234a,jam
937,test_1234b,jam
938,test_1234c,nuts
939,test_1234d,jam
940,test_1235a,corn
941,test_1235b,nuts
942,test_1235c,jam
943,test_1235d,jam
944,test_1236a,jam
945,test_1236b,chocolate
946,test_1236c,soda
947,test_1236d,corn
948,test_1237a,jam
949,test_1237b,chips
950,test_1237c,jam
951,test_1237d,jam
952,test_1238a,corn
953,test_1238b,jam
954,test_1238c,jam
955,test_1238d,jam
956,test_1239a,honey
957,test_1239b,nuts
958,test_1239c,flour
959,test_1239d,oil
960,test_1240a,jam
961,test_1240b,jam
962,test_1240c,jam
963,test_1240d,jam
964,test_1241a,jam
965,test_1241b,jam
966,test_1241c,chocolate
967,test_1241d,tomatosauce
968,test_1242a,soda
969,test_1242b,tomatosauce
970,test_1242c,soda
971,test_1242d,jam
972,test_1243a,jam
973,test_1243b,jam
974,test_1243c,jam
975,test_1243d,jam
976,test_1244a,corn
977,test_1244b,jam
978,test_1244c,jam
979,test_1244d,sugar
980,test_1245a,jam
981,test_1245b,jam
982,test_1245c,jam
983,test_1245d,jam
984,test_1246a,chocolate
985,test_1246b,water
986,test_1246c,jam
987,test_1246d,jam
988,test_1247a,jam
989,test_1247b,jam
990,test_1247c,jam
991,test_1247d,water
992,test_1248a,soda
993,test_1248b,oil
994,test_1248c,spices
995,test_1248d,soda
996,test_1249a,jam
997,test_1249b,nuts
998,test_1249c,nuts
999,test_1249d,spices
1000,test_1250a,jam
1001,test_1250b,jam
1002,test_1250c,jam
1003,test_1250d,jam
1004,test_1251a,jam
1005,test_1251b,water
1006,test_1251c,jam
1007,test_1251d,flour
1008,test_1252a,tomatosauce
1009,test_1252b,jam
1010,test_1252c,jam
1011,test_1252d,soda
1012,test_1253a,jam
1013,test_1253b,flour
1014,test_1253c,jam
1015,test_1253d,jam
1016,test_1254a,jam
1017,test_1254b,sugar
1018,test_1254c,jam
1019,test_1254d,soda
1020,test_1255a,jam
1021,test_1255b,nuts
1022,test_1255c,jam
1023,test_1255d,jam
1024,test_1256a,soda
1025,test_1256b,jam
1026,test_1256c,jam
1027,test_1256d,nuts
1028,test_1257a,chocolate
1029,test_1257b,jam
1030,test_1257c,jam
1031,test_1257d,jam
1032,test_1258a,corn
1033,test_1258b,jam
1034,test_1258c,jam
1035,test_1258d,jam
1036,test_1259a,jam
1037,test_1259b,jam
1038,test_1259c,soda
1039,test_1259d,jam
1040,test_1260a,jam
1041,test_1260b,chocolate
1042,test_1260c,tomatosauce
1043,test_1260d,jam
1044,test_1261a,sugar
1045,test_1261b,jam
1046,test_1261c,jam
1047,test_1261d,jam
1048,test_1262a,jam
1049,test_1262b,nuts
1050,test_1262c,jam
1051,test_1262d,jam
1052,test_1263a,soda
1053,test_1263b,soda
1054,test_1263c,jam
1055,test_1263d,spices
1056,test_1264a,jam
1057,test_1264b,flour
1058,test_1264c,soda
1059,test_1264d,tomatosauce
1060,test_1265a,jam
1061,test_1265b,jam
1062,test_1265c,beans
1063,test_1265d,oil
1064,test_1266a,jam
1065,test_1266b,jam
1066,test_1266c,jam
1067,test_1266d,sugar
1068,test_1267a,tomatosauce
1069,test_1267b,jam
1070,test_1267c,soda
1071,test_1267d,nuts
1072,test_1268a,chips
1073,test_1268b,jam
1074,test_1268c,beans
1075,test_1268d,jam
1076,test_1269a,jam
1077,test_1269b,corn
1078,test_1269c,jam
1079,test_1269d,jam
1080,test_1270a,jam
1081,test_1270b,water
1082,test_1270c,jam
1083,test_1270d,jam
1084,test_1271a,jam
1085,test_1271b,flour
1086,test_1271c,jam
1087,test_1271d,jam
1088,test_1272a,jam
1089,test_1272b,beans
1090,test_1272c,jam
1091,test_1272d,jam
1092,test_1273a,juice
1093,test_1273b,soda
1094,test_1273c,milk
1095,test_1273d,flour
1096,test_1274a,nuts
1097,test_1274b,rice
1098,test_1274c,flour
1099,test_1274d,pasta
1100,test_1275a,jam
1101,test_1275b,jam
1102,test_1275c,jam
1103,test_1275d,jam
1104,test_1276a,jam
1105,test_1276b,jam
1106,test_1276c,jam
1107,test_1276d,jam
1108,test_1277a,soda
1109,test_1277b,water
1110,test_1277c,jam
1111,test_1277d,jam
1112,test_1278a,jam
1113,test_1278b,jam
1114,test_1278c,jam
1115,test_1278d,spices
1116,test_1279a,jam
1117,test_1279b,pasta
1118,test_1279c,sugar
1119,test_1279d,jam
1120,test_1280a,jam
1121,test_1280b,jam
1122,test_1280c,soda
1123,test_1280d,nuts
1124,test_1281a,jam
1125,test_1281b,nuts
1126,test_1281c,jam
1127,test_1281d,jam
1128,test_1282a,jam
1129,test_1282b,jam
1130,test_1282c,jam
1131,test_1282d,jam
1132,test_1283a,jam
1133,test_1283b,nuts
1134,test_1283c,flour
1135,test_1283d,jam
1136,test_1284a,jam
1137,test_1284b,jam
1138,test_1284c,soda
1139,test_1284d,jam
1140,test_1285a,jam
1141,test_1285b,jam
1142,test_1285c,jam
1143,test_1285d,flour
1144,test_1286a,jam
1145,test_1286b,tomatosauce
1146,test_1286c,jam
1147,test_1286d,nuts
1148,test_1287a,candy
1149,test_1287b,jam
1150,test_1287c,jam
1151,test_1287d,jam
1152,test_1288a,jam
1153,test_1288b,jam
1154,test_1288c,jam
1155,test_1288d,soda
1156,test_1289a,jam
1157,test_1289b,soda
1158,test_1289c,jam
1159,test_1289d,honey
1160,test_1290a,jam
1161,test_1290b,jam
1162,test_1290c,chocolate
1163,test_1290d,water
1164,test_1291a,corn
1165,test_1291b,water
1166,test_1291c,nuts
1167,test_1291d,jam
1168,test_1292a,jam
1169,test_1292b,jam
1170,test_1292c,jam
1171,test_1292d,jam
1172,test_1293a,soda
1173,test_1293b,honey
1174,test_1293c,jam
1175,test_1293d,corn
1176,test_1294a,jam
1177,test_1294b,beans
1178,test_1294c,jam
1179,test_1294d,corn
1180,test_1295a,jam
1181,test_1295b,oil
1182,test_1295c,jam
1183,test_1295d,chocolate
1184,test_1296a,beans
1185,test_1296b,jam
1186,test_1296c,jam
1187,test_1296d,soda
1188,test_1297a,soda
1189,test_1297b,jam
1190,test_1297c,beans
1191,test_1297d,jam
1192,test_1298a,jam
1193,test_1298b,jam
1194,test_1298c,pasta
1195,test_1298d,corn
1196,test_1299a,flour
1197,test_1299b,jam
1198,test_1299c,jam
1199,test_1299d,nuts
1200,test_1300a,jam
1201,test_1300b,soda
1202,test_1300c,jam
1203,test_1300d,jam
1204,test_1301a,soda
1205,test_1301b,flour
1206,test_1301c,soda
1207,test_1301d,jam
1208,test_1302a,jam
1209,test_1302b,jam
1210,test_1302c,sugar
1211,test_1302d,soda
1212,test_1303a,jam
1213,test_1303b,flour
1214,test_1303c,honey
1215,test_1303d,chocolate
1216,test_1304a,jam
1217,test_1304b,honey
1218,test_1304c,nuts
1219,test_1304d,sugar
1220,test_1305a,jam
1221,test_1305b,jam
1222,test_1305c,jam
1223,test_1305d,soda
1224,test_1306a,jam
1225,test_1306b,jam
1226,test_1306c,jam
1227,test_1306d,jam
1228,test_1307a,jam
1229,test_1307b,jam
1230,test_1307c,jam
